packet_size,%count,%count
260,62.30907815,51.40015111
261,62.31733252,51.41992657
262,62.32634461,51.43728453
263,62.35680135,51.46126871
264,62.36555403,51.4804647
265,62.37287126,51.49562973
266,62.39341876,51.52179133
267,62.40159726,51.53090203
268,62.41045042,51.54076535
269,62.41998235,51.55006075
270,62.43538785,51.56469248
271,62.44695965,51.57703269
272,62.45607684,51.5892977
273,62.46373191,51.59904691
274,62.47660127,51.60970706
275,62.48536625,51.61826565
276,62.49769219,51.6273935
277,62.50454289,51.63602795
278,62.51456954,51.65690796
279,62.52999041,51.67030785
280,62.54033389,51.67893867
281,62.54766495,51.68686403
282,62.66604326,51.79420661
283,62.67565311,51.80395319
284,62.68596992,51.81464994
285,62.71021781,51.8244859
286,62.73818661,51.83902858
287,62.75035054,51.84925668
288,62.75900223,51.85918003
289,62.76748269,51.86743817
290,62.78085189,51.87753203
291,62.79036382,51.88687063
292,62.80844183,51.90174741
293,62.817599,51.91046102
294,62.83189817,51.9232092
295,62.86061956,51.93725057
296,62.87438146,51.94724088
297,62.88740359,51.96866309
298,63.03552142,52.07685956
299,63.0482457,52.08621794
300,63.05988415,52.11022521
301,63.07273454,52.11955622
302,63.0885999,52.13090766
303,63.09992204,52.13876771
304,63.1189131,52.15113167
305,63.12985433,52.16098147
306,63.14398125,52.17032007
307,63.15577607,52.18773969
308,63.17029312,52.1991716
309,63.18422164,52.21457081
310,63.19719301,52.22666464
311,63.21440411,52.23784359
312,63.23275946,52.25180317
313,63.25051654,52.26231094
314,63.34114803,52.33790494
315,63.35611007,52.34687513
316,63.36653557,52.3557764
317,63.3775091,52.36456949
318,63.38983914,52.37926158
319,63.41276129,52.41674559
320,63.42700868,52.42655581
321,63.44597718,52.43910083
322,63.4580837,52.44933784
323,63.47073671,52.45743206
324,63.48472368,52.46988407
325,63.49940683,52.48763351
326,63.51023169,52.498012
327,63.53343581,52.50968005
328,63.54732639,52.52294373
329,63.55930166,52.53126321
330,63.62795122,52.58673511
331,63.6991318,52.64325547
332,63.71322232,52.67597305
333,63.72695397,52.68751577
334,63.74111319,52.70500301
335,63.75408764,52.76670042
336,63.76402919,52.77514094
337,63.78066712,52.79433429
338,63.79295256,52.81360053
339,63.80540256,52.85360923
340,63.81711586,52.86630795
341,63.83154884,52.89939953
342,63.84174364,52.91411174
343,63.8550098,52.92766565
344,63.87418028,52.9421648
345,63.88325287,52.95336782
346,63.92921815,52.99403912
347,63.93996201,53.00465012
348,63.96069612,53.01715754
349,63.97313689,53.02820588
350,63.9875468,53.04390917
351,63.99526237,53.07616172
352,64.02715251,53.08916979
353,64.04164752,53.11317343
354,64.05249699,53.12668942
355,64.05958096,53.13718499
356,64.08943686,53.14901465
357,64.0975846,53.16683829
358,64.10424818,53.18478397
359,64.11472238,53.21253954
360,64.12658282,53.22844698
361,64.13406718,53.24415093
362,64.17115982,53.27897336
363,64.18548155,53.29043396
364,64.1934355,53.30824442
365,64.2195336,53.33202972
366,64.22668267,53.34825016
367,64.23233272,53.36099735
368,64.23929364,53.37194971
369,64.24929363,53.38886704
370,64.25581264,53.40034281
371,64.2614591,53.41296896
372,64.26775408,53.43948609
373,64.27340977,53.45108653
374,64.27808679,53.47503246
375,64.28580184,53.48581563
376,64.29113096,53.49726271
377,64.30490978,53.51399468
378,64.33400849,53.54088021
379,64.34242179,53.54957402
380,64.34795187,53.55740704
381,64.37043108,53.57173237
382,64.37724744,53.58524242
383,64.38692752,53.59225915
384,64.39434985,53.59951301
385,64.40659786,53.60817154
386,64.41286823,53.61577896
387,64.41844035,53.62285934
388,64.42452206,53.62950206
389,64.43048894,53.63715269
390,64.43750216,53.64505298
391,64.44772259,53.65540212
392,64.45504084,53.66292742
393,64.46678337,53.67510008
394,64.48917594,53.69595963
395,64.49331158,53.70304991
396,64.5028066,53.71408143
397,64.50710066,53.72174821
398,64.52622859,53.7311907
399,64.5316382,53.74078424
400,64.53744308,53.7486255
401,64.54456088,53.75619367
402,64.55250253,53.76528656
403,64.55777167,53.7738999
404,64.56409279,53.78459138
405,64.57042878,53.79221991
406,64.59131874,53.79878744
407,64.60306486,53.80995319
408,64.60962642,53.818835
409,64.61488992,53.82603411
410,64.63485606,53.84439469
411,64.64103877,53.85209841
412,64.64787614,53.86756094
413,64.65236603,53.87517231
414,64.65989499,53.88205118
415,64.66454535,53.88917939
416,64.67039431,53.89890485
417,64.67484832,53.90694729
418,64.67994162,53.91570015
419,64.68518872,53.92246985
420,64.68929053,53.93098458
421,64.69631092,53.93779814
422,64.70230804,53.945302
423,64.71198608,53.95731899
424,64.71638369,53.96428229
425,64.72046243,53.97078814
426,64.73298882,53.98787301
427,64.73741515,53.99449297
428,64.74342303,54.00094507
429,64.7481954,54.00748555
430,64.75389723,54.01559461
431,64.7585194,54.02261068
432,64.76333534,54.03025471
433,64.76679633,54.03702639
434,64.7731964,54.04766411
435,64.77712801,54.05423526
